stockNum,thisMonth,monthIncreasing,yearIncreasing
1101,9672128,-1.10,-1.69
1102,7830830,11.76,15.98
1103,185227,-9.18,16.63
1104,523569,-8.94,8.80
1108,345563,-1.13,-14.50
1109,766026,-13.22,-0.86
1110,143902,-1.68,-1.31
1201,1567125,3.98,6.36
1203,470972,-5.82,-2.15
1210,8512993,5.46,37.74
1213,31631,4.75,41.10
1215,1997700,-1.59,7.86
1216,38356552,-0.27,9.75
1217,273615,-25.47,-6.03
1218,810520,1.36,28.54
1219,1240389,-1.34,21.85
1220,262030,-2.81,21.70
1225,1020599,-9.28,19.22
1227,2337076,20.55,-21.50
1229,724446,-16.16,-3.22
1231,695795,-1.36,7.66
1232,1916817,6.16,52.24
1233,141150,-4.82,14.85
1234,687081,-6.36,10.75
1235,1112,10.20,-41.71
1236,100156,-13.12,-2.14
1702,1680650,-1.85,20.36
1737,309644,6.64,17.12
1301,24367037,-2.60,65.17
1303,34904534,1.54,71.00
1304,6028023,-2.92,71.96
1305,1493823,-18.08,108.08
1307,697674,-25.17,23.96
1308,800995,17.85,84.90
1309,1876788,1.69,62.91
1310,1126664,66.39,90.63
1312,1949387,6.21,77.05
1313,7594888,5.25,88.30
1314,2814860,-3.43,105.93
1315,166442,-9.44,20.26
1321,544134,-14.09,75.08
1323,303256,-1.14,-2.64
1324,83533,-24.99,0.15
1325,136427,-2.18,-56.87
1326,33047596,2.69,82.23
4306,1537466,-5.33,33.67
1402,18494363,-6.39,16.20
1409,3774406,-10.43,56.57
1410,42253,-2.11,19.97
1413,249530,2.72,182.84
1414,68982,-3.49,35.56
1417,113051,15.55,130.68
1418,6270,70.89,712.17
1419,244757,14.63,50.88
1423,17732,-20.37,11.96
1434,3090691,-5.90,28.43
1439,5984,-46.22,89.36
1440,1891812,-13.06,82.53
1443,54808,-9.14,34.89
1444,771799,-5.57,25.78
1445,95403,-4.82,78.84
1446,10098,-56.99,-80.36
1447,1910183,-16.89,192.64
1449,251070,1.15,192.64
1451,572110,-20.88,306.91
1452,162389,-19.26,467.17
1453,38,0.00,-32.14
1454,127762,0.02,29.66
1455,886296,7.33,130.40
1456,58290,32.56,-20.29
1457,371454,2.57,132.01
1459,221026,-13.75,150.35
1460,740461,0.98,118.32
1463,45616,11.42,58.91
1464,857655,-6.57,65.03
1465,16147,-43.38,-38.56
1466,262488,-16.77,183.62
1467,487758,-10.13,146.52
1468,118037,39.66,6.56
1470,76700,-5.66,93.74
1472,51915,178.61,214.50
1473,384725,-36.93,25.45
1474,265400,-19.28,40.22
1475,10945,-41.39,546.10
1476,3158046,1.48,111.81
1477,2345903,-10.75,107.04
4414,1295215,-6.33,40.15
4426,51413,-39.02,-19.68
4438,625008,19.50,31.10
1503,2429347,-3.57,28.87
1504,4181903,-5.73,22.65
1506,67722,-33.41,48.66
1507,1494053,-0.89,25.31
1513,1678387,-23.87,38.58
1514,386044,-7.95,-10.50
1515,1471519,12.98,197.58
1517,385312,-4.94,71.06
1519,683460,-3.66,43.83
1526,155818,4.33,85.61
1527,335787,-22.52,32.51
1528,287133,-16.72,5.29
1529,20595,29.92,-64.40
1530,311109,-24.59,7.33
1531,260585,-1.71,78.63
1532,1289068,-22.14,54.84
1535,640253,-11.34,3.22
1537,611767,-5.30,21.29
1538,18568,-35.89,-33.58
1539,243445,12.16,54.33
1540,42144,4.21,638.97
1541,475146,0.04,16.24
1558,800381,-14.27,58.49
